time,original,predict
2020-08-07 14:00:00,0.6581441137566137,
2020-08-07 16:00:00,0.6842046957671957,
2020-08-07 18:00:00,0.7107426917989418,
2020-08-07 20:00:00,0.6655789682539682,
2020-08-07 22:00:00,0.6573147156084657,
2020-08-08 00:00:00,0.6617992063492065,
2020-08-08 02:00:00,0.6717453703703705,
2020-08-08 04:00:00,0.6536074404761906,
2020-08-08 06:00:00,0.6320311838624338,
2020-08-08 08:00:00,0.6129366071428568,
2020-08-08 10:00:00,0.6156106150793648,
2020-08-08 12:00:00,0.6091152777777776,
2020-08-08 14:00:00,0.6061010912698409,
2020-08-08 16:00:00,0.6488106922398588,
2020-08-08 18:00:00,0.82023649691358,
2020-08-08 20:00:00,0.6738953703703705,
2020-08-08 22:00:00,0.6383931216931216,
2020-08-09 00:00:00,0.6682037037037036,
2020-08-09 02:00:00,0.6670467592592593,
2020-08-09 04:00:00,0.655153505291005,
2020-08-09 06:00:00,0.6571221560846561,
2020-08-09 08:00:00,0.6540408730158732,
2020-08-09 10:00:00,0.6528302248677247,
2020-08-09 12:00:00,0.6563631283068779,
2020-08-09 14:00:00,0.645856812169312,
2020-08-09 16:00:00,0.6747037037037039,
2020-08-09 18:00:00,0.6826803240740738,
2020-08-09 20:00:00,0.6708641203703707,
2020-08-09 22:00:00,0.6741692460317458,
2020-08-10 00:00:00,0.6798969246031746,
2020-08-10 02:00:00,0.7112847222222219,
2020-08-10 04:00:00,0.9782629298941798,
2020-08-10 06:00:00,1.0833916335978835,
2020-08-10 08:00:00,0.9798317460317459,
2020-08-10 10:00:00,0.8439653108465609,
2020-08-10 12:00:00,0.7418423611111116,
2020-08-10 14:00:00,0.7042875992063483,
2020-08-10 16:00:00,0.721649636243386,
2020-08-10 18:00:00,0.7179802248677247,
2020-08-10 20:00:00,0.7200163029100536,
2020-08-10 22:00:00,0.7163716600529091,
2020-08-11 00:00:00,0.7492404761904763,
2020-08-11 02:00:00,0.7536899140211638,
2020-08-11 04:00:00,0.8023523478835979,
2020-08-11 06:00:00,0.9120777116402117,
2020-08-11 08:00:00,0.812429662698413,
2020-08-11 10:00:00,0.8277250000000002,
2020-08-11 12:00:00,0.7703015211640211,
2020-08-11 14:00:00,0.7117476521164027,
2020-08-11 16:00:00,0.7356777116402112,
2020-08-11 18:00:00,0.7339386243386244,
2020-08-11 20:00:00,0.7277742724867724,
2020-08-11 22:00:00,0.7371107142857145,
2020-08-12 00:00:00,0.7524700396825399,
2020-08-12 02:00:00,0.7486805224867729,
2020-08-12 04:00:00,0.9317492063492064,
2020-08-12 06:00:00,0.8566373015873022,
2020-08-12 08:00:00,0.804492658730159,
2020-08-12 10:00:00,0.8008640873015872,
